$Price/Unit,% 1-Bed,% 2-Bed,% 3-Bed,% Studios,Affordable Type,Amenities,Anchor GLA,Anchor Tenants,Architect Name,Ask Rent/SF,Ask Rent/Unit,Average Weighted Rent,Avg Concessions %,Avg Rent-Direct (Industrial),Avg Rent-Direct (Office),Avg Rent-Direct (Retail),Avg Rent-Sublet (Industrial),Avg Rent-Sublet (Office),Avg Rent-Sublet (Retail),Avg Unit Size,Building Address,Building Class,Building Location,Building Name,Building Operating Expenses,Building Park,Building Status,Building Tax Expenses,Cap Rate,Ceiling Height Range,City,Closest Transit Stop,Closest Transit Stop Dist (mi),Closest Transit Stop Walk Time (min),Column Spacing,Construction Material,Core Factor,County Name,Cross Street,Days On Market,Developer Name,Direct Available Space,Direct Services,Direct Vacant Space,Drive Ins,Effective Rent/SF,Effective Rent/Unit,Energy Star,Exp Year,Features,For Sale Price,For Sale Status,Gas,Heating,LEED Certified,Land Area (AC),Last Sale Date,Last Sale Price,Latitude,Leasing Company Address,Leasing Company City State Zip,Leasing Company Contact,Leasing Company Fax,Leasing Company Name,Leasing Company Phone,Longitude,Market Name,Market Segment,Max Building Contiguous Space,Max Floor Contiguous Space,Number Of 1 Bedrooms,Number Of 2 Bedrooms,Number Of 3 Bedrooms,Number Of Cranes,Number Of Elevators,Number Of Loading Docks,Number Of Other Bedrooms,Number Of Parking Spaces,Number Of Stories,Number Of Studios,Number Of Units,Office Space,One Bedroom Mix,One Bedroom Rent High,One Bedroom Rent Low,Ops Expense,Ops Expense Per SF,Other Bedroom Rent High,Other Bedroom Rent Low,Other Mix,Owner Address,Owner City State Zip,Owner Contact,Owner Name,Owner Phone,Parcel Number 1(Min),Parcel Number 2(Max),Parking Ratio,Parking Spaces/Unit,Percent Leased,Power,Primary Agent Name,Property Manager Address,Property Manager City State Zip,Property Manager Contact,Property Manager Name,Property Manager Phone,PropertyID,PropertyType,Rail Lines,Rent Type,Rentable Building Area,Secondary Type,Serial,Services,Sewer,Smallest Available Space,Sprinklers,Star Rating,State,Style,Sublet Available Space,Sublet Services,Sublet Vacant Space,Submarket Cluster,Submarket Name,Tax Year,Taxes Per SF,Taxes Total,Three Bedroom Mix,Three Bedroom Rent High,Three Bedroom Rent Low,Total Available Space (SF),Total Buildings,Total New Space (SF),Total Relet Space (SF),Total Sublet Space (SF),Total Vacant Avail Relet Space (SF),Total Vacant Avail Sublet Space (SF),Total Vacant Available,Two Bedroom Mix,Two Bedroom Rent High,Two Bedroom Rent Low,Typical Floor Size,Vacancy %,Water,Year Built,Year Renovated,Zip,Zoning
,,,,,,,,,,,,-,,-,-,-,-,-,-,,416 Maine St,C,,,2008 Tax @ $1.99/sf,,Existing,2008 Tax @ $1.99/sf,,,Vallejo,,,,,,,Solano,,,,,,,1,,,,,,,N,,,,0.1492,,,38.0994176,,,,,,,-122.2544248,North Bay/Santa Rosa,,,,,,,,0,,,20,1,,,,,,,,,,,,1540 Karen Dr,"Benicia, CA  94510",,Christov Michael Jr,,0056-225-200,0056-225-200,,,100,,,,,,,,6018769,Flex,,,1242,,A9AC1A,,,,,2 Star,CA,,,,,Solano County Ind,Vallejo Ind,2008,1.99,2468.64,,,,,,,,,,,0,,,,1340,,,1949,,94590,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,205 Couch St,C,,,2013 Tax @ $1.08/sf,,Existing,2013 Tax @ $1.08/sf,,,Vallejo,,,,,Metal,,Solano,,,,,,,4/10'0inw x 15'0inh,,,,,,,N,,,,0.64,,,38.117322,,,,,,,-122.253113,North Bay/Santa Rosa,,,,,,,,0,,,15,1,,,,,,,,,,,,205 Couch St,"Vallejo, CA  945902948",,Rebbeca B Bolton,,0054-011-550,0054-011-550,2.17,,100,,,,,,,,6051002,Flex,,,6912,,AU0Y1A,,,,,2 Star,CA,,,,,Solano County Ind,Vallejo Ind,2013,1.08,7444.64,,,,,,,,,,,0,,,,7462,,,1950,,94590,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,510 Pennsylvania St,C,,,2013 Tax @ $0.51/sf,,Existing,2013 Tax @ $0.51/sf,,,Vallejo,,,,,Masonry,,Solano,,,,,,,3/10'0inw x 8'0inh,,,,,,,N,,,,0.1492,1/27/2012 12:00,,38.0982786,,,,,,,-122.252773,North Bay/Santa Rosa,,,,,,,,0,,,6,1,,,,,,,,,,,,708 Pennsylvania St,"Vallejo, CA  945906964",,Shannon & Kathleen Ohare,,0056-232-180,0056-232-180,2.25,,100,,,,,,,,6022926,Flex,,,2668,,ABWH1A,,,,,2 Star,CA,,,,,Solano County Ind,Vallejo Ind,2013,0.51,1350.2,,,,,,,,,,,0,,,,2880,,,1953,,94590,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,724-734 Lincoln Rd E,C,,,2014 Tax @ $1.32/sf,,Existing,2014 Tax @ $1.32/sf,,,Vallejo,,,,,Masonry,,Solano,,,,,,,2/10'0inw x 10'0inh,,,,,,,N,,Gas,,0.469,5/7/2004 12:00,"430,000.00",38.099993,477 Devlin Rd Suite # 104,"Napa, CA  945587511",,7072525375,"Keegan & Coppin Company, Inc.",7072521400,-122.229254,North Bay/Santa Rosa,,,,,,,,0,,,10,1,,,,,,,,,,,,120 Blackstone Dr,"San Rafael, CA  949031506",,Paul Yu,,0071-125-280,0071-125-280,1.57,,100,,,,,,,,364943,Flex,,,6350,,SO0518,,City,,,2 Star,CA,,,,,Solano County Ind,Vallejo Ind,2014,1.32,8400.86,,,,,,,,,,,0,,,,6350,,City,1954,,945916509,"H-C, Vallejo"
,,,,,,,,,,,,-,,-,-,-,-,-,-,,1211-1215 W Texas St,C,,,2014 Tax @ $0.96/sf,,Existing,2014 Tax @ $0.96/sf,,,Fairfield,,,,,Masonry,,Solano,,,,,,,None,,,,,,,N,,,,0.1722,,,38.2490354,,,,,,,-122.0491381,North Bay/Santa Rosa,,,,,,,,0,,,,1,,,,,,,,,,,,2450 Whispering Oaks Dr,"Fairfield, CA  945337538",,Miguel & Veronica Velasquez,,0030-231-040,0030-231-040,,,100,,,,,,,,354835,Flex,,,4000,,SO8787,,,,,1 Star,CA,,,,,Solano County Ind,Fairfield Ind,2014,0.96,3833.18,,,,,,,,,,,0,,,,3405,,,1955,,945335747,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,2020 Sacramento St,C,,,2013 Tax @ $0.26/sf,,Existing,2013 Tax @ $0.26/sf,,,Vallejo,,,,,Masonry,,Solano,,,,,,,1/10'0inw x 10'0inh,,,,,,,N,,,,0.1377,,,38.1168166,,,,,,,-122.2576587,North Bay/Santa Rosa,,,,,,,,0,,,4,1,,,,,,,,,,,,25 Ford Dr,"American Canyon, CA  94503",,Patts Ben B Jr & Maria I C,,0051-190-340,0051-190-340,1.38,,100,,,,,,,,6051000,Flex,,,2908,,AU0W1A,,,,,2 Star,CA,,,,,Solano County Ind,Vallejo Ind,2013,0.26,755.06,,,,,,,,,,,0,,,,3139,,,1958,,94590,
,,,,,,Air Conditioning,,,,,,Withheld,,Withheld,Withheld,-,-,-,-,,1745 Enterprise Dr,B,,Bldg 2,2014 Tax @ $0.52/sf,Meridian Corporate Park,Existing,2014 Tax @ $0.52/sf,,8'0in-8'6in,Fairfield,,,,,Masonry,,Solano,,,1745 Partners,36367,Modified Gross,36367,None,,,,,Air Conditioning,,N,,,,4.68,,,38.2422533,360 Campus Ln Suite # 101,"Fairfield, CA  94534",Eric Dakin,7078630181,Colliers International,7078630188,-122.061592,North Bay/Santa Rosa,,10500,10500,,,,,0,1,,,2,,,27667,,,,,,,,,361 Highland Ave,"San Rafael, CA  94901",Arthur Bruschera,Arthur and Carmen Bruschera  Living Trust,4154560145,0031-310-010,0031-310-010,5,,62.29,,Eric Dakin,981 Howard St,"San Francisco, CA  941034108",Barbara Bionki,Trico Construction,4158509522,86152,Flex,,,96431,,SO0360,Direct - Modified Gross,,416,,3 Star,CA,,0,,0,Solano County Ind,Fairfield Ind,2014,0.52,49761.56,,,,36367,,,36367,0,36367,0,36367,,,,48000,,,1963,1993,945335801,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,Azuar Ave,C,,Bldg 1003,,Mare Island,Existing,,,,Vallejo,,,,,,,Solano,,,,,,,None,,,,,,,N,,,,5.32,,,38.0889486,1850 Gateway Blvd Suite # 130,"Concord, CA  945203279",Leasing Mare Island,,"Kennedy-Wilson Properties, Ltd.",7075624015,-122.2665335,North Bay/Santa Rosa,,,,,,,,0,,,,1,,,,,,,,,,,,690 Walnut Ave,"Vallejo, CA  94592",,Lennar Mare Island Llc,,0066-050-110,0066-050-110,,,100,,Leasing Mare Island,,,,,,797184,Flex,,,10000,,SO2743,,,,,2 Star,CA,,,,,Solano County Ind,Vallejo Ind,,,,,,,,,,,,,,0,,,,10000,,,1967,,94592,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,312 Ebbetts Pass Rd,C,,,2014 Tax @ $0.66/sf,,Existing,2014 Tax @ $0.66/sf,,,Vallejo,,,,,Wood Frame,,Solano,,,,,,,1/10'0inw x 10'0inh,,,,,,,N,,,,0.551,,,38.145047,,,,,,,-122.256042,North Bay/Santa Rosa,,,,,,,,0,,,20,1,,,,,,,,,,,,17 Tennessee St,"Vallejo, CA  94589",,Oakley Chiropractors Dc,7076430308,0067-191-040,0067-191-040,6.68,,100,,,,,,,,37125,Flex,,,3742,,SO7038,,,,,3 Star,CA,,,,,Solano County Ind,Vallejo Ind,2014,0.66,2455.98,,,,,,,,,,,0,,,,3289,,,1972,,94589,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,4251-4271 Park Rd,C,,,2014 Tax @ $0.65/sf,,Existing,2014 Tax @ $0.65/sf,,16'0in,Benicia,,,,,Reinforced Concrete,,Solano,,,,,,,4/10'0inw x 15'0inh,,,,,,,N,,,,1.44,,,38.073632,1333 N California Blvd Suite # 343,"Walnut Creek, CA  945964534",Graden Travis,9259740123,Newmark Cornish & Carey,9259740100,-122.124343,North Bay/Santa Rosa,,,,,,,,0,,,40,1,,,,,,,,,,,,641 Windsor Dr,"Benicia, CA  94510",,Steven & Lisa M Kaplan,,0080-060-090,0080-060-090,1.65,,100,1200a/120-208v 3p 3w,Graden Travis,,,,,,337043,Flex,,,24200,R&D,SO6709,,,,Yes,2 Star,CA,,,,,Solano County Ind,Benicia Ind,2014,0.65,15665.8,,,,,,,,,,,0,,,,24200,,,1972,,945101100,IG
,,,,,,,,,,,,-,,-,-,-,-,-,-,,1961 Walters Ct,C,,,"2014 Tax @ $0.57/sf, 2010 Est Tax @ $0.54/sf; 2010 Est Ops @ $0.56/sf",,Existing,"2014 Tax @ $0.57/sf, 2010 Est Tax @ $0.54/sf; 2010 Est Ops @ $0.56/sf",,18'0in,Fairfield,,,,,Masonry,,Solano,,,,,Modified Gross,,4,,,,,,,N,,,,2.25,3/8/2001 12:00,,38.269413,1680-1682 McKee Rd,"San Jose, CA  951161237",Joe Rosa,,Rosa Realty,4082592988,-121.990184,North Bay/Santa Rosa,,,,,,,,0,8,,60,1,,,,,,,,,,,,1680-1682 McKee Rd,"San Jose, CA  951161237",,Rosa Realty,4082592988,0170-200-220,0170-200-220,1.8,,100,,Joe Rosa,,,,,,336398,Flex,,,33600,,SO0084,Direct - Modified Gross,,,,2 Star,CA,,,,,Solano County Ind,Fairfield Ind,2014,0.57,19166.58,,,,,,,,,,,0,,,,33600,,,1974,,945332762,ML
,,,,,,"Fenced Lot, Signage",,,,,,8.7,,7.2,-,9,-,-,-,,4731-4747 Central Way,C,,,2011 Tax @ $0.18/sf,,Existing,2011 Tax @ $0.18/sf,,18'0in-21'0in,Fairfield,,,,,Reinforced Concrete,,Solano,,545,,9795,Industrial Gross,9795,12/12'0inw x 14'0inh,,,,,"Fenced Lot, Signage",3250000,Y,,,,1.8,,,38.2161903,2101 Woodside Rd,"Woodside, CA  940621110",Mike Schonenberg,6505687310,WP Investments,6505687300,-122.1363983,North Bay/Santa Rosa,,4920,4920,,,,,0,1,,50,1,,,,,,,,,,,,2101 Woodside Rd,"Woodside, CA  94062",,Warehouse Properties Inc,,0044-080-340,0044-080-370,1.41,,72.3,200a 3p,Mike Schonenberg,,,,Individually Managed,,37137,Flex,,,35366,Light Distribution,SO7427,Direct - Industrial Gross,City,1525,None,2 Star,CA,,0,,0,Solano County Ind,Fairfield Ind,2011,0.18,6536.78,,,,9795,,,9795,0,9795,0,9795,,,,35366,,City,1977,,945341612,CS
,,,,,,,,,,,,9,,9,-,-,-,-,-,,149 Grobric Ct,B,,,2014 Tax @ $0.86/sf; 2007 Ops @ $1.04/sf,,Existing,2014 Tax @ $0.86/sf; 2007 Ops @ $1.04/sf,,18'0in,Fairfield,,,,,Masonry,,Solano,,127,,8655,,8655,5/12'0inw x 14'0inh,,,,,,1982500,Y,,,,1.18,4/18/2007 12:00,"1,850,000.00",38.2159408,1000 4th St Suite # 350,"San Rafael, CA  94901",Chris Neeb,4154511730,"Cushman & Wakefield, Inc.",4154514700,-122.1349609,North Bay/Santa Rosa,,4437,4437,,,,,0,7,,53,1,,,,,,,,,,,,750 Link Rd Suite # B,"Fairfield, CA  945341815",Cory Phillips,Pinnacle Tile,7076462906,0044-080-220,0044-080-220,2.6,,56.34,208a/120v,Chris Neeb,,,,,,337049,Flex,,,19825,R&D,SO7070,,City,4218,,2 Star,CA,,0,,0,Solano County Ind,Fairfield Ind,2014,0.86,17064.16,,,,8655,,,8655,0,8655,0,8655,,,,19825,,City,1979,,945341764,
,,,,,,,,,,,,18,,-,18,-,-,-,-,,424 Executive Court North,B,,,2009 Tax @ $4.95/sf,Fairfield Corporate Commons,Existing,2009 Tax @ $4.95/sf,,12'0in-16'0in,Fairfield,,,,,Reinforced Concrete,,Solano,,,Garaventa Enterprises,4480,Industrial Gross,4480,4/10'0inw x 12'0inh,,,,,,,N,,,,3.35,3/22/2012 12:00,"2,625,000.00",38.2311859,360 Campus Ln Suite # 101,"Fairfield, CA  94534",Eric Dakin,7078630181,Colliers International,7078630188,-122.1237516,North Bay/Santa Rosa,,4480,4480,,,,,0,,,73,1,,,4480,,,,,,,,,424 Executive Ct N Suite # E,"Fairfield, CA  945344105",Roger Siegal,NORTH BAY AVIATION,7074487785,0027-360-120,0027-360-120,4,,75.5,1200a/120-208v 3p 3w,Eric Dakin,4080 Mallard Dr,"Concord, CA  945201245",Bob Hammon,Garaventa Enterprises,9256898390,336403,Flex,,,18289,R&D,SO0089,Direct - Industrial Gross,City,4480,,2 Star,CA,,0,,0,Solano County Ind,Fairfield Ind,2009,4.95,90542.4,,,,4480,,,4480,0,4480,0,4480,,,,18289,,City,1980,,945344104,
,,,,,,Fenced Lot,,,,,,-,,-,-,-,-,-,-,,1200 Western St,C,,,2014 Tax @ $0.80/sf,,Existing,2014 Tax @ $0.80/sf,,16'0in,Fairfield,,,,,Reinforced Concrete,,Solano,,,,,,,6/10'0inw x 12'0inh,,,,,Fenced Lot,,N,,,,1.1615,9/10/1999 12:00,"592,000.00",38.2746033,,,,,,,-122.0080364,North Bay/Santa Rosa,,,,,,,,0,,,20,1,,,,,,,,,,,,1764 Wooden Valley Rd,"Napa, CA  945589617",,Cappucci Dominic J & S I,,0168-320-040,0168-320-040,2,,100,,,,,,,,336713,Flex,,,11250,Showroom,SO02FQ,,,,,3 Star,CA,,,,,Solano County Ind,Fairfield Ind,2014,0.8,9024.76,,,,,,,,,,,0,,,,11250,,,1980,,945332480,"ML-1/2, Fairfield"
,,,,,,,,,,,,-,,-,-,-,-,-,-,,415 Mississippi St,C,,,2013 Tax @ $0.63/sf,,Existing,2013 Tax @ $0.63/sf,,,Vallejo,,,,,Metal,,Solano,,,,,,,5/10'0inw x 15'0inh,,,,,,,N,,,,0.67,7/15/2008 12:00,"875,000.00",38.1149129,,,,,,,-122.2523503,North Bay/Santa Rosa,,,,,,,,0,,,36,1,,,,,,,,,,,,473 Mccall Dr,"Benicia, CA  945103932",,Nino A R Trust,,0054-173-320,0054-173-320,2.5,,100,,,,,,,,5946272,Flex,,,14395,,ATX6SA,,,,,2 Star,CA,,,,,Solano County Ind,Vallejo Ind,2013,0.63,9043.34,,,,,,,,,,,0,,,,15540,,,1981,,94590,
,,,,,,,,,,,,6.04,,6.04,6.04,-,-,-,-,,1941 Walters Ct,C,,,"2014 Tax @ $0.57/sf, 2010 Est Tax @ $0.54/sf; 2011 Est Ops @ $0.60/sf",,Existing,"2014 Tax @ $0.57/sf, 2010 Est Tax @ $0.54/sf; 2011 Est Ops @ $0.60/sf",,,Fairfield,,,,,,,Solano,,,,8400,Modified Gross,8400,Yes,,,,,,,N,,,,1.65,5/27/2004 12:00,"1,450,000.00",38.2692675,1680-1682 McKee Rd,"San Jose, CA  951161237",Joe Rosa,,Rosa Realty,4082592988,-121.99101,North Bay/Santa Rosa,,5600,5600,,,,,0,,,17,1,,,,,,,,,,,,1680-1682 McKee Rd,"San Jose, CA  951161237",Joe Rosa,Rosa Realty,4082592988,0170-200-210,0170-200-210,2,,75,,Joe Rosa,1680-1682 McKee Rd,"San Jose, CA  951161237",Joe Rosa,Rosa Realty,4082592988,337089,Flex,,,33600,,SO9221,Direct - Modified Gross,,2800,Yes,2 Star,CA,,0,,0,Solano County Ind,Fairfield Ind,2014,0.57,19234.2,,,,8400,,,8400,0,8400,0,8400,,,,33600,,,1982,,945332765,"N/Av, Fairfield"
